data,overall,north_east,north,west,capital,south_east,south,east,badakhshan,balkh.x,badghis,baghlan,bamyan.x,farah,faryab,ghor,ghazni.x,herat,helmand,jawzjan,kabul.x,kandahar.x,kunduz.x,kunar,khost,laghman,logar,nangarhar,nuristan,paktya,paktika,samangan,sar_e_pul.x,takhar,uruzgan,maidan_wardak,faiz_abad_badakhshan,baharak_badakhshan,yaftal_e_sufla,yawan,argo,kohestan_badakhshan,keshem,jorm,nahr_e_shahi,mazar_e_sharif,dehdadi,sholgareh,zari,balkh.y,chemtal,qala_e_naw,muqur_badghis,jawand,ab_kamari,pul_e_khumri,doshi,burka,baghlan_e_jadid,nahrin,bamyan.y,bala_buluk,qala_e_kah,maymana,feroz_koh,dawlatyar,shahrak,deh_yak,andar,ghazni.y,muqur_ghazni,giro,qarabagh,waghaz,hirat,injil,guzara,lashkargah,nahr_e_saraj,sheberghan,aqcha,kabul.y,bagrami,deh_sabz,paghman,kandahar.y,daman,maywand,arghandab,zheray,dand,panjwayi,spin_boldak,kunduz.y,chawkay,asad_abad,watapur,shigal,bar_kunar,dara_e_pech,sar_kani,marawara,narang,khas_kunar,nurgal,ghazi_abad,Dara-e-pech,nari,dangam,chapa_dara,matun,mandozayi,gurbuz,tani,terezayi,qalandar,mehtarlam,qarghayi,pul_e_alam,surkh_rod,rodat,jalalabad,behsud,bati_kot,chaparhar,khogyani,achin,nazyan,dur_baba,deh_bala,kama,shinwar,pachir_wa_agam,wama,barg_e_matal,waygal,parun,kamdesh,mandol,nurgaram,gardez,shawak,sayed_karam,samkani,ahmadaba,dand_wa_patan,ziruk,sharan,mata_khan,urgun,barmal,surobi_paktika,zarghun_shahr,yosuf_khel,aybak,hazrat_e_sultan,dara_e_suf_e_bala,dara_e_suf_e_payin,sar_e_pul.y,taloqan,yangi_qala,bangi,baharak,tirinkot,maydan_shahr,nerkh,dawlatabad_balkh,karukh,muhmand_dara,duab,secure_tenure,insecure_tenure,service_inaccess,service_access,adequate_shelter,inadequate_shelter,less_5years,over_5years,mixed_popn,seperate_popn,recent_return,no_recent_return,suburb_location,rural_location,urban_location,small_site,large_site,ghazni,balkh,kabul
Hand sanitizer and other hygiene materials,45,35,45,0,49,33,54,60,24,NA,0,30,NA,0,32,0,0,0,100,65,37,48,58,83,25,39,100,55,78,70,33,30,56,22,NA,100,36,23,0,0,0,0,0,0,32,60,29,0,100,NA,NA,0,0,0,NA,27,0,20,50,0,NA,0,NA,32,0,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,NA,100,67,0,35,50,0,100,65,0,0,78,25,NA,25,67,58,100,100,100,100,100,67,100,50,67,0,NA,67,NA,100,100,100,0,67,100,0,NA,NA,45,35,100,69,50,33,46,0,67,0,67,100,100,100,NA,NA,0,100,50,100,50,100,NA,100,75,NA,100,67,0,100,100,0,0,100,NA,NA,0,NA,25,50,NA,NA,56,25,0,NA,NA,NA,100,100,NA,NA,100,100,52,30,51,24,46,35,39,46,47,40,58,44,46,49,42,45,46,NA,35,NA
Fuel / Heating materials,12,11,6,64,2,13,29,4,0,NA,38,0,NA,0,0,75,0,89,50,0,2,27,36,0,6,0,0,9,0,40,0,70,0,33,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,50,33,0,NA,0,0,0,0,0,NA,0,NA,0,75,NA,NA,0,0,0,NA,0,NA,NA,NA,88,100,NA,50,0,0,0,17,0,0,35,0,33,44,25,NA,0,0,36,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,11,0,0,0,NA,NA,0,0,0,8,17,0,15,0,17,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,50,NA,100,33,0,0,0,0,0,0,NA,NA,0,NA,62,100,NA,NA,0,38,0,NA,NA,NA,0,0,NA,NA,0,0,11,13,12,10,12,10,17,11,11,15,9,2,12,10,13,13,7,NA,0,NA
"Construction materials (wood, nails, cement bricks, glass, etc)",6,8,2,14,7,3,15,2,15,NA,25,5,NA,0,0,25,0,0,50,3,4,11,3,0,0,0,12,4,0,10,0,0,6,22,NA,25,7,15,0,100,0,100,0,0,0,0,0,0,0,NA,NA,0,67,0,NA,5,0,0,8,0,NA,0,NA,0,25,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,NA,50,3,0,5,0,0,0,19,0,33,0,0,NA,0,0,3,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,12,0,17,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,33,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,6,25,0,NA,NA,NA,33,0,NA,NA,50,0,6,5,6,5,6,4,7,6,6,5,8,4,5,9,5,6,4,NA,0,NA
Clothing,6,0,4,14,5,44,12,0,0,NA,12,0,NA,0,0,50,0,0,25,0,6,11,0,0,62,0,0,0,0,20,83,20,17,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,100,NA,0,0,0,0,0,NA,0,NA,0,50,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,NA,25,0,0,7,0,0,0,10,0,0,33,25,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,67,33,100,50,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,25,NA,0,33,0,0,100,100,100,0,NA,NA,100,NA,25,0,NA,NA,17,0,0,NA,NA,NA,0,0,NA,NA,0,0,6,7,7,5,6,10,8,6,6,9,7,2,1,8,8,8,1,NA,0,NA
Tarpaulin sheets,2,0,1,32,0,8,4,0,0,NA,50,0,NA,0,0,25,0,22,12,0,0,3,0,0,6,0,0,0,0,20,0,10,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,100,0,0,NA,0,0,0,0,0,NA,0,NA,0,25,NA,NA,0,0,0,NA,0,NA,NA,NA,25,0,NA,12,0,0,0,0,0,0,6,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,11,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,25,NA,0,33,0,0,0,0,0,0,NA,NA,0,NA,12,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,2,4,3,2,2,10,8,1,1,5,2,0,3,1,3,3,1,NA,0,NA
Buckets with taps,4,1,0,14,0,10,18,0,0,NA,38,2,NA,0,0,0,0,0,75,0,0,11,0,0,19,0,0,0,0,10,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,25,67,0,NA,0,0,20,0,0,NA,0,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,NA,75,0,0,0,0,0,0,19,0,0,11,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,22,0,50,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,33,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,3,5,4,3,4,4,10,3,3,5,7,0,3,6,3,4,0,NA,0,NA
Cooking / kitchen materials,17,1,7,27,2,38,15,44,0,NA,0,0,NA,0,0,50,57,44,75,0,2,8,0,66,44,39,0,30,78,20,33,0,50,11,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,50,NA,NA,100,100,50,NA,0,NA,NA,NA,50,0,NA,75,0,0,3,0,0,0,16,0,0,0,0,NA,0,0,0,50,67,0,0,100,67,100,50,67,0,NA,100,NA,100,100,100,44,67,0,50,NA,NA,45,35,0,23,67,33,31,0,17,0,67,0,100,0,NA,NA,0,100,50,100,50,100,NA,100,50,NA,0,0,0,0,100,50,0,0,NA,NA,0,NA,0,0,NA,NA,50,12,0,NA,NA,NA,0,0,NA,NA,50,100,17,16,20,8,18,12,5,19,18,15,18,18,11,29,13,16,23,NA,0,NA
Blankets and quilts,2,0,0,59,0,0,0,0,0,NA,38,0,NA,0,0,100,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,50,0,100,NA,0,0,0,0,0,NA,0,NA,0,100,NA,NA,0,0,0,NA,0,NA,NA,NA,62,100,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,2,4,2,2,2,6,4,2,1,6,0,0,2,1,3,3,1,NA,0,NA
Other,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA
What are the main sources of food for people in the settlement?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Counselling from NGO workers,3,3,2,7,4,1,2,3,0,2,27,1,0,0,2,0,0,0,0,0,5,2,10,0,2,3,0,4,6,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,100,0,0,17,67,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,4,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,7,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,3,5,2,3,2,4,3,1,6,2,2,2,5,NA,NA,NA
Purchase in markets inside the settlement,78,72,73,64,86,82,83,85,56,75,82,63,0,67,77,55,80,60,92,62,86,81,90,98,81,78,100,79,83,88,80,86,61,71,100,75,80,47,0,0,0,100,0,100,74,73,64,100,100,100,100,67,100,100,100,69,50,29,64,50,0,50,100,77,44,100,100,100,50,88,100,100,100,0,75,55,50,100,75,61,100,87,85,50,100,91,56,80,82,69,100,78,67,90,100,100,100,100,100,86,100,100,100,100,100,100,100,100,100,100,80,88,80,50,100,100,72,83,100,88,100,100,81,100,62,0,75,100,100,50,100,100,50,33,50,100,100,100,100,100,89,100,100,100,100,0,100,67,100,50,100,100,100,100,88,86,100,0,61,77,0,57,0,100,67,100,100,100,100,100,79,74,80,70,78,75,73,78,79,75,76,75,78,77,77,76,84,NA,NA,NA
Purchase in markets outside the settlement,64,60,73,62,37,73,70,59,59,76,18,65,100,33,63,82,53,80,100,62,39,66,26,41,71,61,12,81,33,69,100,68,87,94,25,25,27,79,100,100,100,0,100,0,76,73,86,33,100,67,100,33,0,0,0,61,83,71,71,50,100,50,0,63,78,100,100,0,100,62,0,0,0,100,25,100,75,100,100,64,0,36,54,50,0,71,56,50,91,85,0,22,100,26,33,27,25,0,33,43,50,25,50,33,100,75,0,100,100,67,72,75,80,100,0,0,69,53,12,100,83,75,88,100,75,100,25,100,50,100,100,0,50,100,50,0,0,20,0,0,78,0,100,33,100,100,100,100,100,100,100,100,100,100,62,76,50,100,87,93,100,100,100,25,33,0,100,100,100,100,62,66,62,71,65,47,60,64,64,64,75,69,59,68,64,64,66,NA,NA,NA
Own production,21,18,36,2,8,10,36,9,2,56,0,34,0,0,28,9,7,0,79,6,6,29,5,8,0,25,25,0,0,50,0,57,13,24,0,0,0,5,0,0,0,0,0,0,54,55,57,67,100,33,100,0,0,0,0,31,33,14,43,100,0,0,0,28,11,0,0,0,0,0,0,0,0,100,0,0,0,69,100,6,0,7,0,0,100,36,0,20,73,38,0,0,0,5,0,9,25,0,0,14,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,21,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,100,33,100,0,0,0,0,0,0,0,0,0,44,71,100,100,13,23,0,29,100,0,0,0,100,0,0,0,20,23,25,12,23,3,20,22,22,21,28,22,23,20,21,22,15,NA,NA,NA
Provided from family and friends in the area,14,17,5,27,6,6,19,26,10,1,73,6,0,0,5,9,0,15,38,3,6,16,29,8,5,44,0,18,67,19,0,7,7,21,0,0,13,11,0,0,0,0,0,0,0,0,7,0,0,0,0,83,33,100,100,6,33,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,25,18,0,6,100,3,0,7,8,0,0,21,6,0,36,15,0,0,0,29,0,0,25,0,0,14,0,0,0,33,100,0,0,0,0,0,8,0,0,0,0,0,45,43,0,12,0,0,19,0,25,0,25,0,50,0,0,100,50,67,0,100,100,80,100,0,0,0,100,33,100,0,0,0,0,0,0,0,0,0,9,5,0,0,7,25,0,0,0,0,0,0,0,0,0,0,10,22,14,15,14,17,15,14,15,13,17,17,18,20,10,14,19,NA,NA,NA
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Don't know,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Have residents had sufficient access to food (financially) to meet the needs of their households in the past 3 months?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,64.43,77.94,59.03,75.56,62.22,45.45,39.33,78.5,95.12,31.82,72.73,75.9,0,66.67,86.05,54.55,66.67,90,62.5,91.18,57.14,35.25,60.26,54.69,54.76,89.83,100,86.3,94.44,43.75,0,62.5,58.21,90,25,100,93.33,94.74,100,100,100,100,100,100,33.33,27.27,42.86,0,0,33.33,0,50,100,100,100,74.07,100,100,71.43,0,0,100,0,86.05,55.56,100,0,100,100,37.5,100,100,100,100,100,81.82,100,93.75,0,90.91,100,55.74,69.23,50,0,35.71,37.5,20,36.36,46.15,0,22.22,100,60.26,66.67,36.36,50,33.33,33.33,71.43,75,25,75,66.67,100,75,0,100,100,33.33,56,75,40,50,0,0,93.1,86.67,100,87.5,83.33,75,100,100,87.5,100,75,100,75,100,100,0,50,100,100,100,66.67,100,100,100,55.56,100,0,0,100,0,0,0,0,0,0,0,0,0,65.62,61.9,50,0,58.21,93.33,50,71.43,100,25,100,100,0,100,100,100,61.78,70.05,60.72,75.43,64.52,63.64,71.33,63.47,66.11,59.94,59.31,74.04,61.94,70.4,62.18,62.61,76.67,NA,NA,NA
Yes,32.43,21.69,40.97,24.44,37.78,47.73,42,21.03,2.44,68.18,27.27,24.1,100,33.33,13.95,45.45,26.67,10,4.17,8.82,42.86,48.36,39.74,45.31,35.71,8.47,0,13.7,5.56,50,100,37.5,41.79,10,75,0,6.67,0,0,0,0,0,0,0,66.67,72.73,57.14,100,100,66.67,100,50,0,0,0,25.93,0,0,28.57,100,100,0,100,13.95,44.44,0,100,0,0,50,0,0,0,0,0,18.18,0,6.25,0,9.09,0,44.26,30.77,50,100,41.07,62.5,80,0,53.85,100,77.78,0,39.74,33.33,63.64,50,66.67,66.67,28.57,25,75,25,33.33,0,25,100,0,0,66.67,36,25,20,50,100,100,6.9,10,0,12.5,16.67,25,0,0,12.5,0,25,0,25,0,0,100,50,0,0,0,33.33,0,0,0,44.44,0,0,100,0,100,100,100,100,100,100,100,100,100,34.38,38.1,50,100,41.79,6.67,50,28.57,0,75,0,0,100,0,0,0,35.95,26.04,35.2,24.22,32.07,36.36,20.28,34.13,31.26,35.58,34.14,25.96,35.22,26.17,34.72,33.87,22.67,NA,NA,NA
Don't know,3.05,0.37,0,0,0,6.82,18.67,0,2.44,0,0,0,0,0,0,0,6.67,0,33.33,0,0,16.39,0,0,9.52,0,0,0,0,6.25,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,23.21,0,0,63.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,3.91,3.96,0.35,3.31,0,8.39,2.3,2.51,4.49,6.21,0,2.83,3.12,3.11,3.52,0,NA,NA,NA
no_consensus,0.09,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0.09,0,0,0.1,0.12,0,0.34,0,0,0.31,0,0,0.67,NA,NA,NA
Do humanitarian agencies provide services to any households living in this informal settlement?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,67.48,82.35,69.79,2.22,65.56,75,82,46.73,82.93,78.41,9.09,72.29,0,0,60.47,0,86.67,0,87.5,79.41,61.04,80.33,79.49,39.06,73.81,45.76,100,42.47,94.44,93.75,46.67,69.64,59.7,97.14,100,100,86.67,89.47,100,0,100,100,0,0,75.93,90.91,78.57,100,0,100,100,0,33.33,0,0,72.22,100,71.43,57.14,100,0,0,0,60.47,0,0,0,100,100,87.5,100,100,0,100,0,0,0,81.25,100,78.79,100,57.38,69.23,100,100,73.21,87.5,90,81.82,84.62,100,100,33.33,79.49,66.67,18.18,50,50,33.33,28.57,25,75,50,33.33,0,25,0,100,100,33.33,72,75,80,50,100,100,34.48,56.67,100,37.5,33.33,0,31.25,100,50,100,50,0,50,50,0,50,100,100,100,100,100,100,100,100,88.89,100,100,100,100,100,0,50,0,50,50,100,100,0,68.75,80.95,0,0,59.7,98.33,100,85.71,100,100,100,100,0,0,50,0,66.71,69.79,66.78,69.55,68.68,53.41,65.73,67.66,69.82,61.22,67.24,60.18,68.42,61.68,70.29,69.85,52,NA,NA,NA
Yes,31.3,17.28,29.86,97.78,34.44,15.91,16,52.8,17.07,21.59,90.91,26.51,100,100,39.53,100,13.33,100,12.5,20.59,38.96,17.21,20.51,59.38,19.05,54.24,0,57.53,5.56,0,26.67,30.36,38.81,2.86,0,0,13.33,10.53,0,100,0,0,100,100,24.07,9.09,21.43,0,100,0,0,100,66.67,100,100,25.93,0,28.57,42.86,0,100,100,100,39.53,100,100,100,0,0,12.5,0,0,100,0,100,100,100,18.75,0,21.21,0,42.62,30.77,0,0,25,12.5,10,0,15.38,0,0,66.67,20.51,33.33,81.82,50,33.33,66.67,71.43,75,25,50,66.67,100,75,100,0,0,66.67,20,25,20,0,0,0,65.52,43.33,0,62.5,66.67,100,68.75,0,50,0,50,100,50,50,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,16.67,0,50,0,0,0,100,31.25,19.05,100,100,38.81,1.67,0,14.29,0,0,0,0,100,100,50,100,32.09,28.91,31.82,29.76,30.18,44.32,32.17,31.24,29.1,37.18,31.72,38.64,30.77,36.76,28.5,28.74,48,NA,NA,NA
Don't know,1.22,0.37,0.35,0,0,9.09,2,0.47,0,0,0,1.2,0,0,0,0,0,0,0,0,0,2.46,0,1.56,7.14,0,0,0,0,6.25,26.67,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,18.18,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,33.33,100,0,50,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,1.2,1.3,1.4,0.69,1.14,2.27,2.1,1.1,1.08,1.6,1.03,1.18,0.81,1.56,1.21,1.41,0,NA,NA,NA
What types of services are provided?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,12,11,5,32,3,14,17,12,0,NA,30,0,0,33,6,18,0,40,67,0,3,10,31,13,12,12,NA,12,0,NA,25,0,12,0,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,NA,0,NA,NA,50,0,0,0,0,NA,0,0,NA,0,50,0,6,22,0,0,NA,NA,0,NA,NA,0,NA,50,27,50,67,NA,0,NA,4,0,NA,NA,0,50,100,NA,0,NA,NA,0,31,0,11,0,0,50,0,0,0,50,100,0,0,0,NA,NA,0,0,0,100,NA,NA,NA,11,15,NA,0,25,0,27,NA,0,NA,0,0,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,100,NA,NA,NA,0,0,0,0,0,12,0,NA,0,NA,NA,NA,NA,0,100,0,0,12,12,14,8,12,15,13,12,11,16,10,7,8,10,16,12,14,NA,0,NA
Food,78,72,80,59,61,57,83,91,71,NA,30,59,100,67,65,100,50,50,33,100,60,90,94,89,62,94,NA,90,100,NA,50,71,85,50,NA,NA,0,100,NA,100,NA,NA,100,100,85,100,100,NA,100,NA,NA,0,100,100,0,71,NA,100,17,NA,100,100,0,65,100,100,100,NA,NA,0,NA,NA,100,NA,75,45,25,33,NA,100,NA,62,50,NA,NA,86,100,100,NA,100,NA,NA,100,94,100,89,100,100,50,100,100,0,100,100,100,67,100,NA,NA,100,80,50,0,NA,NA,NA,89,100,NA,100,100,100,73,NA,100,NA,100,100,100,100,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,NA,0,NA,NA,NA,100,70,75,50,100,85,0,NA,100,NA,NA,NA,NA,100,100,100,100,79,75,77,80,81,54,65,80,80,72,83,82,84,82,72,75,88,NA,89,NA
"Yes, based on health condition (showing cough, fever or other coronavirus symptoms)",11,4,6,55,0,0,12,6,14,NA,50,5,0,100,6,45,0,55,33,0,0,10,0,3,0,6,NA,10,0,NA,0,18,4,0,NA,NA,0,50,NA,0,NA,NA,0,0,0,0,0,NA,0,NA,NA,50,100,0,0,7,NA,0,0,NA,0,100,100,6,44,0,100,NA,NA,0,NA,NA,0,NA,25,64,50,33,NA,0,NA,0,0,NA,NA,7,0,0,NA,0,NA,NA,50,0,0,11,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,11,0,NA,10,0,0,18,NA,25,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,30,0,0,0,4,0,NA,0,NA,NA,NA,NA,0,100,0,0,8,18,12,10,10,23,22,10,8,19,10,3,12,11,12,11,12,NA,0,NA
Livelihood/vocational training,9,0,8,0,0,0,21,19,0,NA,0,0,0,0,18,0,0,0,0,0,0,24,0,0,0,25,NA,31,0,NA,0,18,4,0,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,18,0,0,0,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,21,50,0,NA,0,NA,NA,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,21,31,NA,30,0,25,45,NA,25,NA,100,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,20,25,0,0,4,0,NA,0,NA,NA,NA,NA,0,0,0,0,10,6,10,8,10,3,2,10,9,10,15,9,13,14,4,6,22,NA,0,NA
