type,name,label,label::Dari,label::pash,hint::English,hint::Dari,hint::pash,required,relevant,read_only,appearance,constraint,constraint_message::English,constraint_message::Dari,constraint_message::pash,calculation,choice_filter,repeat_count
integer,vul_sleeping_prop,Proportion of sites in which there is not enough space on average for all households members to sleep safely and isolate if ill,,,,,,,,,,,,,,,,
select_multiple health_unsatisfy_constraint,health_unsatisfy_constraint,"% of KIs reporting site satisfaction with health serveice, by those reporting to use the servinces in the last 3 months ",,,,,,,,,,,,,,,,
integer,hh_rooms_space_isolate,hh_rooms_space_isolate,,,,,,,,,,,,,,,,
select_one tenure_sec_insec,tenure_sec_insec,tenure_sec_insec,,,,,,,,,,,,,,,,
select_one access_toservice,access_toservice,access_toservice,,,,,,,,,,,,,,,,
select_one shelter_condition,shelter_condition,shelter_condition,,,,,,,,,,,,,,,,
select_one over_less_5years,over_less_5years,over_less_5years,,,,,,,,,,,,,,,,
select_one mixed_sep_popn,mixed_sep_popn,mixed_sep_popn,,,,,,,,,,,,,,,,
select_one return_status,return_status,return_status,,,,,,,,,,,,,,,,
select_one location_type,location_type,location_type,,,,,,,,,,,,,,,,
select_one site_type,site_type,site_type,,,,,,,,,,,,,,,,
integer,idp_discrete,idp_discrete,,,,,,,,,,,,,,,,
integer,prolong_discrete,prolong_discrete,,,,,,,,,,,,,,,,
integer,protract_discrete,protract_discrete,,,,,,,,,,,,,,,,
integer,refugee_discrete,refugee_discrete,,,,,,,,,,,,,,,,
integer,returnee_discrete,returnee_discrete,,,,,,,,,,,,,,,,
integer,economic_discrete,economic_discrete,,,,,,,,,,,,,,,,
integer,nomad_discrete,nomad_discrete,,,,,,,,,,,,,,,,
integer,idp_mixed,idp_mixed,,,,,,,,,,,,,,,,
integer,prolong_mixed,prolong_mixed,,,,,,,,,,,,,,,,
integer,protract_mixed,protract_mixed,,,,,,,,,,,,,,,,
integer,refugee_mixed,refugee_mixed,,,,,,,,,,,,,,,,
integer,returnee_mixed,returnee_mixed,,,,,,,,,,,,,,,,
integer,economic_mixed,economic_mixed,,,,,,,,,,,,,,,,
integer,nomad_mixed,nomad_mixed,,,,,,,,,,,,,,,,
select_one water_distance_fs,water_distance_fs,% of sites reporting no drinking water source within 2 km of the site,,,,,,,,,,,,,,,,
select_one health_distance_fs,health_distance_fs,% of sites reporting no health care centre in 2km of settlement ,,,,,,,,,,,,,,,,
select_one access_school,access_school,% of sites reporting access to school,,,,,,,,,,,,,,,,
select_one vulnerability_classification,vulnerability_classification,Vulnerability classification,,,,,,,,,,,,,,,,
integer,vulnerability_score,Vulnerability Composite,,,,,,,,,,,,,,,,
