district,nb_sites,idp_hhs,idp_indvl,prolonged_hhs,prolonged_indvl,protracted_hhs,protracted_indvl,refugee_hhs,refugee_indvl,returnee_hhs,returnee_indvl,economic_hhs,economic_indvl,nomad_hhs,nomad_indvl,host_hhs,host_indvl,iset_population_discrete,iset_population_mixed,location_urban,location_suburban,location_rural,idp_mixed,idp_discrete,prolong_mixed,prolong_discrete,protract_mixed,protract_discrete,refugee_mixed,refugee_discrete,returnee_mixed,returnee_discrete,economic_mixed,economic_discrete,nomad_mixed,nomad_discrete,migrant_population.idp,migrant_population.prolong,migrant_population.protract,migrant_population.refugee,migrant_population.returnee,relocate_plan_yes,relocate_plan_no,relocate_plan_dk,relocate_pushpull_1_label,relocate_pushpull_1_pct,relocate_pushpull_2_label,relocate_pushpull_2_pct,relocate_pushpull_3_label,relocate_pushpull_3_pct,five_years_yes,five_years_no,five_years_dk,idp_3mo_hhs,idp_prov_origin_1_label,idp_prov_origin_1_pct,idp_prov_origin_2_label,idp_prov_origin_2_pct,idp_prov_origin_3_label,idp_prov_origin_3_pct,returnee_3mo_hhs,returnee_origin_1_label,returnee_origin_1_pct,returnee_origin_2_label,returnee_origin_2_pct,returnee_origin_3_label,returnee_origin_3_pct,shelter_type_1_label,shelter_type_1_pct,shelter_type_2_label,shelter_type_2_pct,shelter_type_3_label,shelter_type_3_pct,tenure_insecure,hh_rooms,accom_1_label,accom_1_pct,accom_2_label,accom_2_pct,accom_3_label,accom_3_pct,host_relation_positive,host_relation_neutral,host_relation_negative,host_relation_prefer_not,eviction_threat_yes,eviction_threat_no,eviction_threat_dk,eviction_threat_local_auth,eviction_threat_gvt,eviction_threat_local_host_comm,eviction_threat_local_ot,comm_represent_yes,comm_represent_no,comm_represent_dk,relocation_yes,relocation_no,site_land_yes,site_land_no,site_land_dk,site_land_owner_gvt,site_land_owner_prv,site_land_owner_un,site_land_owner_common,site_land_owner_ot,water_distance_fs,water_source_fs,water_barrier_1_label,water_barrier_1_pct,water_barrier_2_label,water_barrier_2_pct,water_barrier_3_label,water_barrier_3_pct,health_distance_fs,health_satisfy_constraint_yes,health_satisfy_constraint_no,health_satisfy_constraint_dk,health_unsatisfy_constraint.crowded,health_unsatisfy_constraint.hours,health_unsatisfy_constraint.expensive,health_unsatisfy_constraint.drug_unavail,health_unsatisfy_constraint.staff_behave,health_unsatisfy_constraint.other,health_unsatisfy_constraint.dont_know,mhpss_aware_yes,mhpss_aware_no,mhpss_aware_dk,health_barrier_1_label,health_barrier_1_pct,health_barrier_2_label,health_barrier_2_pct,health_barrier_3_label,health_barrier_3_pct,safe_likert_verygood,safe_likert_good,safe_likert_neutral,safe_likert_poor,safe_likert_verypoor,move_free_m_yes,move_free_m_no,move_free_m_dk,move_why_m_1_label,move_why_m_1_pct,move_why_m_2_label,move_why_m_2_pct,move_why_m_3_label,move_why_m_3_pct,move_free_f_yes,move_free_f_no,move_free_f_dk,move_why_f_1_label,move_why_f_1_pct,move_why_f_2_label,move_why_f_2_pct,move_why_f_3_label,move_why_f_3_pct,livelihood_1_label,livelihood_1_pct,livelihood_2_label,livelihood_2_pct,livelihood_3_label,livelihood_3_pct,food_source_1_label,food_source_1_pct,food_source_2_label,food_source_2_pct,food_source_3_label,food_source_3_pct,vul_index_low,vul_index_moderate,vul_index_moderate_high,vul_index_high,covid_aware_yes,covid_aware_part,covid_aware_no,covid_concern_yes,covid_concern_no,covid_concern_dk,covid_info_1_label,covid_info_1_pct,covid_info_2_label,covid_info_2_pct,covid_info_3_label,covid_info_3_pct,covid_safeprac_1_label,covid_safeprac_1_pct,covid_safeprac_2_label,covid_safeprac_2_pct,covid_safeprac_3_label,covid_safeprac_3_pct,aid_govt_yes,aid_govt_no,aid_govt_dk,aid_services_1_label,aid_services_1_pct,aid_services_2_label,aid_services_2_pct,aid_services_3_label,aid_services_3_pct,vul_chronic_fs,soap_avail_yes,soap_avail_no,soap_avail_dk,using_public_facility,handwash_crowded_yes,handwash_crowded_no,handwash_crowded_dk,water_point_yes,water_point_no_further,water_point_no_none,tap_sanitize_all,tap_sanitize_some,tap_sanitize_no,tap_sanitize_dk,safety_change_increase,safety_change_decrease,safety_change_no,safety_change_dk,covid_coping_1_label,covid_coping_1_pct,covid_coping_2_label,covid_coping_2_pct,covid_coping_3_label,covid_coping_3_pct,mhpss_secondary_1_label,mhpss_secondary_1_pct,mhpss_secondary_2_label,mhpss_secondary_2_pct,mhpss_secondary_3_label,mhpss_secondary_3_pct,vul_sleeping_prop,covid_shelter_1_label,covid_shelter_1_pct,covid_shelter_2_label,covid_shelter_2_pct,covid_shelter_3_label,covid_shelter_3_pct,market_soldout_yes,market_soldout_no,market_soldout_dk,soldout_item_1_label,soldout_item_1_pct,soldout_item_2_label,soldout_item_2_pct,soldout_item_3_label,soldout_item_3_pct,work_change_fullstop,work_change_partstop,work_change_nostop,school_alternatives.other_facility,school_alternatives.home_school,school_alternatives.other,school_alternatives.no,school_alternatives.dont_know
bagrami,13,1230,6845,1443,8960,2933,18130,200,900,1473,10370,330,2275,0,200,1430,8200,69,31,69,0,8,22.22,36.36,57.14,66.67,75,90,7.69,0,37.5,50,16.67,9.09,0,7.69,46.15,76.92,92.31,7.69,61.54,15,85,0,Better access to services where they are moving,100,Better opportunity for jobs,50,Intimidation and harassment by host community/local authorities,0,100,0,0,106,Laghman,40,Nangarhar,20,Badakhshan,0,30,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),54,Tents (emergency shelter),23,Makeshift Shelter,23,69,2.3846153846153846,Own shelter WITHOUT documentation,46,Rent shelter,15,Staying in shelter for free WITH owner's consent,15,69,23,0,8,0,100,0,NaN,NaN,NaN,NaN,100,0,0,15,85,92,8,0,75,25,0,0,0,38,0.07692307692307693,Waterpoints are too far,62,Long line/wait to access waterpoint,25,Waterpoint has low capacity (runs out of water often),25,46,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,85,0,Cost of care/ treatment,50,Cost of medicines,50,No barriers,50,31,38,8,15,8,92,8,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,77,23,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,75,Purchase in markets outside the settlement,38,NGO food distributions,12,0,62,38,0,100,0,0,100,0,0,"Media (TV, radio)",100,Community or religious leaders,75,Government,50,Wash hands frequently,100,Avoid large crowds and gatherings,75,Practice physical distancing,62,23,77,0,Food distribution,67,Information on the coronavirus preventive measures at COMMUNITY level,33,Information on the coronavirus preventive measures at HOUSEHOLD level,0,15.384615384615385,54,46,0,7.6923076923076925,100,0,0,69,23,8,0,0,100,0,20,20,60,0,No unusual behavior,62,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",25,Social withdrawal,12,Increased poverty/no income,100,Lack of access for NGOs to provide services,38,Increased gender-based violence,12,40,No preference for shelter aid,38,Provision of tents to accommodate sick persons inside the site,31,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,15,46,54,0,Food,100,Hand sanitizer and other hygiene materials,25,Fuel / Heating materials,25,77,23,0,30,20,0,50,0
baharak,1,2,12,3,18,0,0,0,0,0,0,0,0,0,0,149,894,0,100,0,0,0,100,NaN,100,NaN,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,3,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,Long line/wait to access waterpoint,100,Waterpoint has low capacity (runs out of water often),100,Unpleasant colour/taste/smell of water,0,100,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,Cost of care/ treatment,100,Cost of medicines,100,Insufficient capacity of health centre,100,0,0,100,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Farming (cash crop),100,Small business / sale of goods or services,0,Unskilled daily labour (without contract),0,Purchase in markets outside the settlement,100,Own production,100,NGO food distributions,0,0,100,0,0,100,0,0,100,0,0,Government,100,Community or religious leaders,100,"Media (TV, radio)",100,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,100,0,100,0,NA,NA,NA,NA,NA,NA,100,100,0,0,0,NA,NA,NA,100,0,0,0,0,100,0,0,0,100,0,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,0,Relocation of unsick family members to other relatives,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Provision of tents to accommodate sick persons inside the site,0,0,100,0,NA,NA,NA,NA,NA,NA,0,0,100,100,100,0,0,0
baharak_badakhshan,19,6410,42780,2830,17675,2949,21200,330,1900,82,494,5835,38690,0,0,3560,25500,21,79,11,0,89,70.59,28.57,87.5,60,64.71,25,15.79,0,21.05,0,47.06,18.18,0,0,73.68,89.47,68.42,15.79,21.05,11,89,0,No work opportunities available here,100,Better security where they are moving,100,Better access to services where they are moving,100,79,21,0,245,Badakhshan,100,Badghis,0,Baghlan,0,25,Iran,50,Pakistan,25,Tajikistan,0,Permanent shelter (mud),95,Permanent shelter (brick),5,Tents (emergency shelter),0,42,2.210526315789474,Own shelter WITH documentation,58,Hosted in shelter by friends/family for free,21,Own shelter WITHOUT documentation,11,84,16,0,0,0,100,0,NaN,NaN,NaN,NaN,95,5,0,47,53,100,0,0,0,100,0,0,0,26,0.10526315789473684,Long line/wait to access waterpoint,41,Waterpoints are too far,41,No barriers,35,84,64,36,0,75,0,50,100,75,0,0,16,84,0,Cost of medicines,92,Cost of transport,67,Insufficient capacity of health centre,42,11,42,26,11,11,89,11,0,Fear for Personal Safety,100,Government restrictions related to coronavirus,50,Discrimination / harrassment from host community,0,84,16,0,Fear for Personal Safety,100,Government restrictions related to coronavirus,67,Discrimination / harrassment from host community,0,Unskilled daily labour (without contract),74,Farming (cash crop),16,Small business / sale of goods or services,11,Purchase in markets outside the settlement,78,Purchase in markets inside the settlement,44,Provided from family and friends in the area,11,0,47,53,0,95,0,5,100,0,0,"Media (TV, radio)",88,Text message alerts,65,Community or religious leaders,59,Wash hands frequently,100,Avoid large crowds and gatherings,94,Practice physical distancing,59,47,53,0,Information on the coronavirus preventive measures at COMMUNITY level,89,Food distribution,11,Information on the coronavirus preventive measures at HOUSEHOLD level,0,36.84210526315789,89,11,0,10.526315789473683,0,100,0,68,11,21,15,15,69,0,24,41,35,0,Angry / aggressive behaviour,35,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",35,No unusual behavior,29,Increased poverty/no income,94,Increased insecurity,29,Lack of access for NGOs to provide services,29,77.77777777777779,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,37,Renting of hotel/hostel to isolate sick individuals for 14 days,26,No preference for shelter aid,26,72,28,0,Food,100,Hand sanitizer and other hygiene materials,17,"Construction materials (wood, nails, cement bricks, glass, etc)",17,26,74,0,5.56,22.22,0,77.78,0
bala_buluk,2,0,0,25,220,100,560,0,0,0,0,0,0,0,0,540,2485,0,100,0,0,100,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,100,0,NA,NA,NA,NA,NA,NA,50,50,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Tents (emergency shelter),100,Makeshift Shelter,0,Transitional Shelter,0,100,1,Rent shelter,50,Staying in shelter for free WITH owner's consent,50,Own shelter WITH documentation,0,0,0,50,50,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,50,0.5,Waterpoints are too far,50,No barriers,50,Long line/wait to access waterpoint,0,0,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,Cost of medicines,100,Cost of care/ treatment,50,Insufficient capacity of health centre,50,50,0,0,0,50,50,50,0,Fear for Personal Safety,100,Debt Related Concerns,100,Discrimination / harrassment from host community,0,50,50,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,50,Purchase in markets outside the settlement,50,NGO food distributions,0,0,0,100,0,100,0,0,0,50,50,Healthcare workers,100,"UN, NGOs or INGOs",50,Text message alerts,50,Avoid large crowds and gatherings,100,Wash hands frequently,50,Self-isolate if experiencing symtoms,50,100,0,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,0,0,100,0,50,0,100,0,50,50,0,0,0,100,0,100,0,0,0,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased gender-based violence,50,Community violence,50,NaN,Provision of tents to accommodate sick persons inside the site,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Relocation of unsick family members to other relatives,0,50,50,0,Food,100,Soap,0,Hand sanitizer and other hygiene materials,0,100,0,0,0,0,0,100,0
balkh,3,70,460,159,945,115,840,0,0,55,345,0,0,0,0,2450,14550,0,100,0,0,33,66.67,0,100,NaN,100,NaN,0,0,100,NaN,0,0,0,0,66.67,100,100,0,100,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,20,Jawzjan,100,Badakhshan,0,Badghis,0,22,Pakistan,67,Iran,33,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,100,2.6666666666666665,Own shelter WITH documentation,33,Hosted in shelter by friends/family for free,33,Staying in shelter for free WITH owner's consent,33,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,Long line/wait to access waterpoint,100,Waterpoint has low capacity (runs out of water often),100,Unpleasant colour/taste/smell of water,0,67,67,33,0,100,0,100,100,0,0,0,33,67,0,Cost of medicines,100,Cost of transport,67,Cost of care/ treatment,67,0,33,67,0,0,67,33,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,67,33,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,Farming (cash crop),67,Farming (livestock),33,Small business / sale of goods or services,0,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,67,Own production,33,0,0,100,0,100,0,0,100,0,0,Community or religious leaders,100,"Media (TV, radio)",100,Text message alerts,100,Wash hands frequently,100,Practice physical distancing,100,Avoid large crowds and gatherings,100,0,100,0,NA,NA,NA,NA,NA,NA,100,100,0,0,0,NA,NA,NA,100,0,0,0,0,100,0,67,0,33,0,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased gender-based violence,100,Increased poverty/no income,100,Increased insecurity,67,33.33333333333333,Relocation of unsick family members to other relatives,67,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,33,Provision of tents to accommodate sick persons inside the site,0,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,66.67,66.67,0,33.33,0
bamyan,1,0,0,220,1540,0,0,0,0,80,560,0,0,0,0,0,0,100,0,100,0,0,0,0,NaN,100,0,0,0,0,NaN,100,0,0,0,0,0,100,0,0,100,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,10,Iran,100,Pakistan,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,2,Own shelter WITHOUT documentation,100,Own shelter WITH documentation,0,Rent shelter,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,100,0,0,0,0,0,0,No barriers,100,Long line/wait to access waterpoint,0,Unpleasant colour/taste/smell of water,0,100,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Farming (cash crop),100,Small business / sale of goods or services,0,Unskilled daily labour (without contract),0,Purchase in markets outside the settlement,100,NGO food distributions,0,Purchase in markets inside the settlement,0,0,100,0,0,100,0,0,100,0,0,"UN, NGOs or INGOs",100,"Media (TV, radio)",100,Healthcare workers,100,Wash hands frequently,100,Practice physical distancing,100,Avoid large crowds and gatherings,100,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,0,0,NA,NA,NA,100,0,0,0,0,100,0,0,0,100,0,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased gender-based violence,100,Increased poverty/no income,100,Increased health issues,0,100,Provision of tents to accommodate sick persons inside the site,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Relocation of unsick family members to other relatives,0,0,100,0,NA,NA,NA,NA,NA,NA,0,0,100,0,0,0,100,0
bangi,7,31,187,70,400,200,1090,20,100,45,254,0,0,0,0,1301,8040,0,100,14,0,57,28.57,0,28.57,0,28.57,0,14.29,0,57.14,0,0,0,0,0,28.57,28.57,28.57,14.29,57.14,29,71,0,No work opportunities available here,100,Better opportunity for jobs,100,Intimidation and harassment by host community/local authorities,0,100,0,0,11,Takhar,100,Badakhshan,0,Badghis,0,7,Iran,50,Pakistan,50,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,71,2.7142857142857144,Own shelter WITH documentation,29,Own shelter WITHOUT documentation,29,Rent shelter,29,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,14,86,100,0,0,14,86,0,0,0,43,0.42857142857142855,Waterpoints are too far,43,Long line/wait to access waterpoint,29,Waterpoints are unsafe,29,100,67,33,0,100,0,0,100,100,0,0,0,86,14,Cost of care/ treatment,50,Cost of medicines,50,Insufficient capacity of health centre,50,14,71,14,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Farming (cash crop),57,Unskilled daily labour (without contract),43,Small business / sale of goods or services,0,Purchase in markets outside the settlement,100,Purchase in markets inside the settlement,57,Own production,29,0,29,57,14,100,0,0,100,0,0,"Media (TV, radio)",100,Government,67,Community or religious leaders,17,Wash hands frequently,86,Practice physical distancing,57,Self-isolate if experiencing symtoms,57,14,86,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,100,57,43,0,0,NA,NA,NA,57,43,0,0,0,75,25,0,50,50,0,Social withdrawal,43,No unusual behavior,43,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",14,Increased poverty/no income,86,Community violence,14,Lack of access for NGOs to provide services,14,57.14285714285714,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,29,Relocation of unsick family members to other relatives,29,No preference for shelter aid,29,0,100,0,NA,NA,NA,NA,NA,NA,29,29,43,16.67,0,0,83.33,0
bar_kunar,3,30,240,290,1950,290,2580,0,0,155,1300,30,300,0,0,2565,16330,0,100,67,0,33,66.67,0,100,NaN,100,NaN,0,0,100,NaN,33.33,0,0,0,66.67,100,100,0,100,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,1,Kunar,100,Badakhshan,0,Badghis,0,0,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,1.6666666666666667,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,67,0,0,33,33,33,33,0,0,100,0,100,0,0,0,100,100,0,0,0,100,0,0,0,33,0,Long line/wait to access waterpoint,100,Unpleasant colour/taste/smell of water,0,Waterpoint has low capacity (runs out of water often),0,0,67,33,0,0,0,0,100,0,0,0,0,100,0,Cost of care/ treatment,50,Insufficient capacity of health centre,50,Don't know where to go,0,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),33,Farming (livestock),33,Farming (cash crop),33,Purchase in markets inside the settlement,100,NGO food distributions,0,Purchase in markets outside the settlement,0,0,33,67,0,100,0,0,100,0,0,Government,100,"Media (TV, radio)",100,Text message alerts,100,Wash hands frequently,100,Self-isolate if experiencing symtoms,100,Practice physical distancing,50,0,100,0,NA,NA,NA,NA,NA,NA,0,0,100,0,66.66666666666666,50,50,0,67,33,0,0,0,100,0,NA,NA,NA,NA,Social withdrawal,100,Dangerous/risky behaviours,50,Angry / aggressive behaviour,0,Increased gender-based violence,100,Increased health issues,100,Increased poverty/no income,0,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,33,67,0,NA,NA,NA,NA,NA,NA,33,67,0,0,66.67,0,33.33,0
barg_e_matal,2,100,700,80,650,100,700,0,0,46,506,10,70,0,0,129,1419,50,50,50,0,50,0,50,0,50,0,50,0,0,50,0,0,50,0,0,50,50,50,0,50,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,10,Nuristan,100,Badakhshan,0,Badghis,0,0,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,50,1.5,Own shelter WITH documentation,50,Hosted in shelter by friends/family for free,50,Own shelter WITHOUT documentation,0,0,50,50,0,0,100,0,NaN,NaN,NaN,NaN,50,50,0,0,100,50,50,0,0,100,0,0,0,50,0,Long line/wait to access waterpoint,100,Waterpoint has low capacity (runs out of water often),100,Unpleasant colour/taste/smell of water,0,100,0,100,0,100,0,100,100,0,0,0,0,100,0,Cost of care/ treatment,100,Cost of medicines,100,Long travel time,100,0,0,50,0,50,50,0,50,NA,NA,NA,NA,NA,NA,50,0,50,NA,NA,NA,NA,NA,NA,Small business / sale of goods or services,50,Unskilled daily labour (without contract),50,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,50,Purchase in markets outside the settlement,50,NGO food distributions,0,0,0,100,0,50,0,50,100,0,0,Community or religious leaders,100,"Media (TV, radio)",100,Government,0,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,100,0,100,0,NA,NA,NA,NA,NA,NA,50,0,100,0,0,NA,NA,NA,50,50,0,0,0,100,0,50,0,50,0,Angry / aggressive behaviour,100,Dangerous/risky behaviours,100,Social withdrawal,0,Increased poverty/no income,100,Increased insecurity,100,Increased gender-based violence,0,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,100,0,0,Food,100,Soap,50,Hand sanitizer and other hygiene materials,50,100,0,0,0,50,0,50,0
barmal,2,20,300,22,250,40,450,0,0,15,200,0,0,0,0,280,3500,0,100,0,0,50,50,0,50,0,50,0,0,0,50,0,0,0,0,0,50,50,50,0,50,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,2,Paktya,100,Badakhshan,0,Badghis,0,4,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,50,2.5,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,50,50,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,50,0,50,0,100,0,0,0,50,0,Waterpoint has low capacity (runs out of water often),100,Long line/wait to access waterpoint,50,Waterpoints are too far,50,100,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,NA,NA,NA,NA,NA,NA,0,0,100,0,0,100,0,0,NA,NA,NA,NA,NA,NA,0,100,0,Socio-cultural barriers between settlement members and host community,100,Debt Related Concerns,100,Discrimination / harrassment from host community,0,Farming (livestock),50,Farming (cash crop),50,Small business / sale of goods or services,0,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,100,NGO food distributions,0,0,50,50,0,100,0,0,100,0,0,"Media (TV, radio)",100,Government,50,Community or religious leaders,0,Wash hands frequently,50,Practice physical distancing,50,Wear masks and gloves if experiencing symptoms,50,50,50,0,Information on the coronavirus preventive measures at HOUSEHOLD level,100,Information on the coronavirus preventive measures at COMMUNITY level,0,Councelling for vulnerable residents,0,100,100,0,0,0,NA,NA,NA,50,50,0,0,0,100,0,0,100,0,0,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,50,Increased health issues,50,"Nothing, continue daily life as normal",50,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,0,50,50,NA,NA,NA,NA,NA,NA,0,100,0,100,100,0,0,0
